State,State Code,Year,Year Code,Deaths,Population,Crude Rate
District of Columbia,11,2012,2012,43,Not Applicable,Not Applicable
District of Columbia,11,2013,2013,58,Not Applicable,Not Applicable
District of Columbia,11,2014,2014,52,Not Applicable,Not Applicable
District of Columbia,11,2015,2015,73,Not Applicable,Not Applicable
District of Columbia,11,2016,2016,164,Not Applicable,Not Applicable
District of Columbia,11,2017,2017,123,Not Applicable,Not Applicable
District of Columbia,11,2018,2018,123,Not Applicable,Not Applicable
District of Columbia,11,2019,2019,181,Not Applicable,Not Applicable
District of Columbia,11,2020,2020,196,Not Applicable,Not Applicable
Florida,12,2008,2008,1524,Not Applicable,Not Applicable
Florida,12,2009,2009,1685,Not Applicable,Not Applicable
Florida,12,2010,2010,1590,Not Applicable,Not Applicable
Florida,12,2011,2011,1556,Not Applicable,Not Applicable
Florida,12,2012,2012,1385,Not Applicable,Not Applicable
Florida,12,2013,2013,1313,Not Applicable,Not Applicable
Florida,12,2014,2014,1481,Not Applicable,Not Applicable
Florida,12,2015,2015,1790,Not Applicable,Not Applicable
Florida,12,2016,2016,2851,Not Applicable,Not Applicable
Florida,12,2017,2017,2641,Not Applicable,Not Applicable
Florida,12,2018,2018,2523,Not Applicable,Not Applicable
Florida,12,2019,2019,2970,Not Applicable,Not Applicable
Florida,12,2020,2020,3709,Not Applicable,Not Applicable
Georgia,13,2008,2008,464,Not Applicable,Not Applicable
Georgia,13,2009,2009,542,Not Applicable,Not Applicable
Georgia,13,2010,2010,547,Not Applicable,Not Applicable
Georgia,13,2011,2011,562,Not Applicable,Not Applicable
Georgia,13,2012,2012,528,Not Applicable,Not Applicable
Georgia,13,2013,2013,540,Not Applicable,Not Applicable
Georgia,13,2014,2014,643,Not Applicable,Not Applicable
Georgia,13,2015,2015,639,Not Applicable,Not Applicable
Georgia,13,2016,2016,758,Not Applicable,Not Applicable
Georgia,13,2017,2017,804,Not Applicable,Not Applicable
Georgia,13,2018,2018,764,Not Applicable,Not Applicable
Georgia,13,2019,2019,737,Not Applicable,Not Applicable
Georgia,13,2020,2020,1015,Not Applicable,Not Applicable
Hawaii,15,2008,2008,72,Not Applicable,Not Applicable
Hawaii,15,2009,2009,79,Not Applicable,Not Applicable
Hawaii,15,2010,2010,82,Not Applicable,Not Applicable
Hawaii,15,2011,2011,91,Not Applicable,Not Applicable
Hawaii,15,2012,2012,72,Not Applicable,Not Applicable
Hawaii,15,2013,2013,84,Not Applicable,Not Applicable
Hawaii,15,2014,2014,80,Not Applicable,Not Applicable
Hawaii,15,2015,2015,105,Not Applicable,Not Applicable
Hawaii,15,2016,2016,114,Not Applicable,Not Applicable
Hawaii,15,2017,2017,133,Not Applicable,Not Applicable
Hawaii,15,2018,2018,111,Not Applicable,Not Applicable
Hawaii,15,2019,2019,136,Not Applicable,Not Applicable
Hawaii,15,2020,2020,154,Not Applicable,Not Applicable
Idaho,16,2008,2008,79,Not Applicable,Not Applicable
Idaho,16,2009,2009,99,Not Applicable,Not Applicable
Idaho,16,2010,2010,93,Not Applicable,Not Applicable
Idaho,16,2011,2011,115,Not Applicable,Not Applicable
Idaho,16,2012,2012,89,Not Applicable,Not Applicable
Idaho,16,2013,2013,114,Not Applicable,Not Applicable
Idaho,16,2014,2014,104,Not Applicable,Not Applicable
Idaho,16,2015,2015,103,Not Applicable,Not Applicable
Idaho,16,2016,2016,126,Not Applicable,Not Applicable
Idaho,16,2017,2017,123,Not Applicable,Not Applicable
Idaho,16,2018,2018,126,Not Applicable,Not Applicable
Idaho,16,2019,2019,133,Not Applicable,Not Applicable
Idaho,16,2020,2020,161,Not Applicable,Not Applicable
Illinois,17,2008,2008,708,Not Applicable,Not Applicable
Illinois,17,2009,2009,745,Not Applicable,Not Applicable
Illinois,17,2010,2010,725,Not Applicable,Not Applicable
Illinois,17,2011,2011,806,Not Applicable,Not Applicable
Illinois,17,2012,2012,886,Not Applicable,Not Applicable
Illinois,17,2013,2013,851,Not Applicable,Not Applicable
Illinois,17,2014,2014,970,Not Applicable,Not Applicable
Illinois,17,2015,2015,1030,Not Applicable,Not Applicable
Illinois,17,2016,2016,1269,Not Applicable,Not Applicable
Illinois,17,2017,2017,1573,Not Applicable,Not Applicable
Illinois,17,2018,2018,1432,Not Applicable,Not Applicable
Illinois,17,2019,2019,1606,Not Applicable,Not Applicable
Illinois,17,2020,2020,1753,Not Applicable,Not Applicable
Indiana,18,2008,2008,437,Not Applicable,Not Applicable
Indiana,18,2009,2009,469,Not Applicable,Not Applicable
Indiana,18,2010,2010,495,Not Applicable,Not Applicable
Indiana,18,2011,2011,539,Not Applicable,Not Applicable
Indiana,18,2012,2012,533,Not Applicable,Not Applicable
Indiana,18,2013,2013,595,Not Applicable,Not Applicable
Indiana,18,2014,2014,664,Not Applicable,Not Applicable
Indiana,18,2015,2015,679,Not Applicable,Not Applicable
Indiana,18,2016,2016,847,Not Applicable,Not Applicable
Indiana,18,2017,2017,980,Not Applicable,Not Applicable
Indiana,18,2018,2018,882,Not Applicable,Not Applicable
Indiana,18,2019,2019,963,Not Applicable,Not Applicable
Indiana,18,2020,2020,1225,Not Applicable,Not Applicable
Iowa,19,2008,2008,118,Not Applicable,Not Applicable
Iowa,19,2009,2009,110,Not Applicable,Not Applicable
Iowa,19,2010,2010,142,Not Applicable,Not Applicable
Iowa,19,2011,2011,146,Not Applicable,Not Applicable
Iowa,19,2012,2012,152,Not Applicable,Not Applicable
Iowa,19,2013,2013,158,Not Applicable,Not Applicable
Iowa,19,2014,2014,161,Not Applicable,Not Applicable
Iowa,19,2015,2015,183,Not Applicable,Not Applicable
Iowa,19,2016,2016,186,Not Applicable,Not Applicable
Iowa,19,2017,2017,180,Not Applicable,Not Applicable
Iowa,19,2018,2018,164,Not Applicable,Not Applicable
Iowa,19,2019,2019,251,Not Applicable,Not Applicable
Iowa,19,2020,2020,249,Not Applicable,Not Applicable
Kansas,20,2008,2008,160,Not Applicable,Not Applicable
Kansas,20,2009,2009,189,Not Applicable,Not Applicable
Kansas,20,2010,2010,153,Not Applicable,Not Applicable
Kansas,20,2011,2011,152,Not Applicable,Not Applicable
Kansas,20,2012,2012,192,Not Applicable,Not Applicable
Kansas,20,2013,2013,177,Not Applicable,Not Applicable
Kansas,20,2014,2014,192,Not Applicable,Not Applicable
Kansas,20,2015,2015,173,Not Applicable,Not Applicable
Kansas,20,2016,2016,177,Not Applicable,Not Applicable
Kansas,20,2017,2017,198,Not Applicable,Not Applicable
Kansas,20,2018,2018,197,Not Applicable,Not Applicable
Kansas,20,2019,2019,212,Not Applicable,Not Applicable
Kansas,20,2020,2020,286,Not Applicable,Not Applicable
Kentucky,21,2008,2008,410,Not Applicable,Not Applicable
Kentucky,21,2009,2009,451,Not Applicable,Not Applicable
Kentucky,21,2010,2010,528,Not Applicable,Not Applicable
Kentucky,21,2011,2011,562,Not Applicable,Not Applicable
Kentucky,21,2012,2012,542,Not Applicable,Not Applicable
Kentucky,21,2013,2013,528,Not Applicable,Not Applicable
Kentucky,21,2014,2014,609,Not Applicable,Not Applicable
Kentucky,21,2015,2015,700,Not Applicable,Not Applicable
Kentucky,21,2016,2016,728,Not Applicable,Not Applicable
Kentucky,21,2017,2017,745,Not Applicable,Not Applicable
Kentucky,21,2018,2018,701,Not Applicable,Not Applicable
Kentucky,21,2019,2019,747,Not Applicable,Not Applicable
Kentucky,21,2020,2020,1120,Not Applicable,Not Applicable
Louisiana,22,2008,2008,322,Not Applicable,Not Applicable
Louisiana,22,2009,2009,331,Not Applicable,Not Applicable
Louisiana,22,2010,2010,312,Not Applicable,Not Applicable
Louisiana,22,2011,2011,342,Not Applicable,Not Applicable
Louisiana,22,2012,2012,356,Not Applicable,Not Applicable
Louisiana,22,2013,2013,458,Not Applicable,Not Applicable
Louisiana,22,2014,2014,420,Not Applicable,Not Applicable
Louisiana,22,2015,2015,480,Not Applicable,Not Applicable
Louisiana,22,2016,2016,557,Not Applicable,Not Applicable
Louisiana,22,2017,2017,655,Not Applicable,Not Applicable
Louisiana,22,2018,2018,598,Not Applicable,Not Applicable
Louisiana,22,2019,2019,771,Not Applicable,Not Applicable
Louisiana,22,2020,2020,1090,Not Applicable,Not Applicable
Maine,23,2008,2008,87,Not Applicable,Not Applicable
