State,State Code,Year,Year Code,Deaths,Population,Crude Rate
Ohio,39,2019,2019,2346,Not Applicable,Not Applicable
Ohio,39,2020,2020,2730,Not Applicable,Not Applicable
Oklahoma,40,2008,2008,240,Not Applicable,Not Applicable
Oklahoma,40,2009,2009,383,Not Applicable,Not Applicable
Oklahoma,40,2010,2010,333,Not Applicable,Not Applicable
Oklahoma,40,2011,2011,356,Not Applicable,Not Applicable
Oklahoma,40,2012,2012,406,Not Applicable,Not Applicable
Oklahoma,40,2013,2013,417,Not Applicable,Not Applicable
Oklahoma,40,2014,2014,388,Not Applicable,Not Applicable
Oklahoma,40,2015,2015,399,Not Applicable,Not Applicable
Oklahoma,40,2016,2016,457,Not Applicable,Not Applicable
Oklahoma,40,2017,2017,381,Not Applicable,Not Applicable
Oklahoma,40,2018,2018,366,Not Applicable,Not Applicable
Oklahoma,40,2019,2019,414,Not Applicable,Not Applicable
Oklahoma,40,2020,2020,470,Not Applicable,Not Applicable
Oregon,41,2008,2008,232,Not Applicable,Not Applicable
Oregon,41,2009,2009,259,Not Applicable,Not Applicable
Oregon,41,2010,2010,282,Not Applicable,Not Applicable
Oregon,41,2011,2011,283,Not Applicable,Not Applicable
Oregon,41,2012,2012,265,Not Applicable,Not Applicable
Oregon,41,2013,2013,225,Not Applicable,Not Applicable
Oregon,41,2014,2014,291,Not Applicable,Not Applicable
Oregon,41,2015,2015,286,Not Applicable,Not Applicable
Oregon,41,2016,2016,258,Not Applicable,Not Applicable
Oregon,41,2017,2017,286,Not Applicable,Not Applicable
Oregon,41,2018,2018,283,Not Applicable,Not Applicable
Oregon,41,2019,2019,317,Not Applicable,Not Applicable
Oregon,41,2020,2020,450,Not Applicable,Not Applicable
Pennsylvania,42,2008,2008,965,Not Applicable,Not Applicable
Pennsylvania,42,2009,2009,942,Not Applicable,Not Applicable
Pennsylvania,42,2010,2010,976,Not Applicable,Not Applicable
Pennsylvania,42,2011,2011,1190,Not Applicable,Not Applicable
Pennsylvania,42,2012,2012,1228,Not Applicable,Not Applicable
Pennsylvania,42,2013,2013,1261,Not Applicable,Not Applicable
Pennsylvania,42,2014,2014,1364,Not Applicable,Not Applicable
Pennsylvania,42,2015,2015,1692,Not Applicable,Not Applicable
Pennsylvania,42,2016,2016,2696,Not Applicable,Not Applicable
Pennsylvania,42,2017,2017,2579,Not Applicable,Not Applicable
Pennsylvania,42,2018,2018,2205,Not Applicable,Not Applicable
Pennsylvania,42,2019,2019,2353,Not Applicable,Not Applicable
Pennsylvania,42,2020,2020,2604,Not Applicable,Not Applicable
Rhode Island,44,2008,2008,91,Not Applicable,Not Applicable
Rhode Island,44,2009,2009,99,Not Applicable,Not Applicable
Rhode Island,44,2010,2010,89,Not Applicable,Not Applicable
Rhode Island,44,2011,2011,96,Not Applicable,Not Applicable
Rhode Island,44,2012,2012,98,Not Applicable,Not Applicable
Rhode Island,44,2013,2013,125,Not Applicable,Not Applicable
Rhode Island,44,2014,2014,129,Not Applicable,Not Applicable
Rhode Island,44,2015,2015,147,Not Applicable,Not Applicable
Rhode Island,44,2016,2016,155,Not Applicable,Not Applicable
Rhode Island,44,2017,2017,177,Not Applicable,Not Applicable
Rhode Island,44,2018,2018,166,Not Applicable,Not Applicable
Rhode Island,44,2019,2019,144,Not Applicable,Not Applicable
Rhode Island,44,2020,2020,215,Not Applicable,Not Applicable
South Carolina,45,2008,2008,288,Not Applicable,Not Applicable
South Carolina,45,2009,2009,326,Not Applicable,Not Applicable
South Carolina,45,2010,2010,364,Not Applicable,Not Applicable
South Carolina,45,2011,2011,358,Not Applicable,Not Applicable
South Carolina,45,2012,2012,317,Not Applicable,Not Applicable
South Carolina,45,2013,2013,325,Not Applicable,Not Applicable
South Carolina,45,2014,2014,408,Not Applicable,Not Applicable
South Carolina,45,2015,2015,418,Not Applicable,Not Applicable
South Carolina,45,2016,2016,485,Not Applicable,Not Applicable
South Carolina,45,2017,2017,520,Not Applicable,Not Applicable
South Carolina,45,2018,2018,574,Not Applicable,Not Applicable
South Carolina,45,2019,2019,647,Not Applicable,Not Applicable
South Carolina,45,2020,2020,902,Not Applicable,Not Applicable
South Dakota,46,2008,2008,25,Not Applicable,Not Applicable
South Dakota,46,2009,2009,26,Not Applicable,Not Applicable
South Dakota,46,2010,2010,22,Not Applicable,Not Applicable
South Dakota,46,2011,2011,27,Not Applicable,Not Applicable
South Dakota,46,2012,2012,29,Not Applicable,Not Applicable
South Dakota,46,2013,2013,28,Not Applicable,Not Applicable
South Dakota,46,2014,2014,39,Not Applicable,Not Applicable
South Dakota,46,2015,2015,41,Not Applicable,Not Applicable
South Dakota,46,2016,2016,37,Not Applicable,Not Applicable
South Dakota,46,2017,2017,40,Not Applicable,Not Applicable
South Dakota,46,2018,2018,35,Not Applicable,Not Applicable
South Dakota,46,2019,2019,50,Not Applicable,Not Applicable
South Dakota,46,2020,2020,34,Not Applicable,Not Applicable
Tennessee,47,2008,2008,497,Not Applicable,Not Applicable
Tennessee,47,2009,2009,478,Not Applicable,Not Applicable
Tennessee,47,2010,2010,550,Not Applicable,Not Applicable
Tennessee,47,2011,2011,555,Not Applicable,Not Applicable
Tennessee,47,2012,2012,576,Not Applicable,Not Applicable
Tennessee,47,2013,2013,607,Not Applicable,Not Applicable
Tennessee,47,2014,2014,659,Not Applicable,Not Applicable
Tennessee,47,2015,2015,778,Not Applicable,Not Applicable
Tennessee,47,2016,2016,904,Not Applicable,Not Applicable
Tennessee,47,2017,2017,946,Not Applicable,Not Applicable
Tennessee,47,2018,2018,974,Not Applicable,Not Applicable
Tennessee,47,2019,2019,1166,Not Applicable,Not Applicable
Tennessee,47,2020,2020,1592,Not Applicable,Not Applicable
Texas,48,2008,2008,994,Not Applicable,Not Applicable
Texas,48,2009,2009,1301,Not Applicable,Not Applicable
Texas,48,2010,2010,1323,Not Applicable,Not Applicable
Texas,48,2011,2011,1398,Not Applicable,Not Applicable
Texas,48,2012,2012,1371,Not Applicable,Not Applicable
Texas,48,2013,2013,1310,Not Applicable,Not Applicable
Texas,48,2014,2014,1436,Not Applicable,Not Applicable
Texas,48,2015,2015,1486,Not Applicable,Not Applicable
Texas,48,2016,2016,1629,Not Applicable,Not Applicable
Texas,48,2017,2017,1728,Not Applicable,Not Applicable
Texas,48,2018,2018,1707,Not Applicable,Not Applicable
Texas,48,2019,2019,1892,Not Applicable,Not Applicable
Texas,48,2020,2020,2442,Not Applicable,Not Applicable
Utah,49,2008,2008,257,Not Applicable,Not Applicable
Utah,49,2009,2009,242,Not Applicable,Not Applicable
Utah,49,2010,2010,247,Not Applicable,Not Applicable
Utah,49,2011,2011,282,Not Applicable,Not Applicable
Utah,49,2012,2012,321,Not Applicable,Not Applicable
Utah,49,2013,2013,305,Not Applicable,Not Applicable
Utah,49,2014,2014,314,Not Applicable,Not Applicable
Utah,49,2015,2015,377,Not Applicable,Not Applicable
Utah,49,2016,2016,296,Not Applicable,Not Applicable
Utah,49,2017,2017,345,Not Applicable,Not Applicable
Utah,49,2018,2018,313,Not Applicable,Not Applicable
Utah,49,2019,2019,320,Not Applicable,Not Applicable
Utah,49,2020,2020,361,Not Applicable,Not Applicable
Vermont,50,2008,2008,32,Not Applicable,Not Applicable
Vermont,50,2009,2009,36,Not Applicable,Not Applicable
Vermont,50,2010,2010,37,Not Applicable,Not Applicable
Vermont,50,2011,2011,61,Not Applicable,Not Applicable
Vermont,50,2012,2012,33,Not Applicable,Not Applicable
Vermont,50,2013,2013,47,Not Applicable,Not Applicable
Vermont,50,2014,2014,55,Not Applicable,Not Applicable
Vermont,50,2015,2015,54,Not Applicable,Not Applicable
Vermont,50,2016,2016,72,Not Applicable,Not Applicable
Vermont,50,2017,2017,71,Not Applicable,Not Applicable
Vermont,50,2018,2018,84,Not Applicable,Not Applicable
Vermont,50,2019,2019,79,Not Applicable,Not Applicable
Vermont,50,2020,2020,114,Not Applicable,Not Applicable
Virginia,51,2008,2008,389,Not Applicable,Not Applicable
Virginia,51,2009,2009,343,Not Applicable,Not Applicable
Virginia,51,2010,2010,256,Not Applicable,Not Applicable
Virginia,51,2011,2011,423,Not Applicable,Not Applicable
Virginia,51,2012,2012,402,Not Applicable,Not Applicable
Virginia,51,2013,2013,451,Not Applicable,Not Applicable
Virginia,51,2014,2014,525,Not Applicable,Not Applicable
Virginia,51,2015,2015,557,Not Applicable,Not Applicable
Virginia,51,2016,2016,737,Not Applicable,Not Applicable
Virginia,51,2017,2017,764,Not Applicable,Not Applicable
Virginia,51,2018,2018,782,Not Applicable,Not Applicable
Virginia,51,2019,2019,811,Not Applicable,Not Applicable
Virginia,51,2020,2020,1210,Not Applicable,Not Applicable
Washington,53,2008,2008,514,Not Applicable,Not Applicable
Washington,53,2009,2009,536,Not Applicable,Not Applicable
Washington,53,2010,2010,501,Not Applicable,Not Applicable
Washington,53,2011,2011,492,Not Applicable,Not Applicable
Washington,53,2012,2012,532,Not Applicable,Not Applicable
Washington,53,2013,2013,514,Not Applicable,Not Applicable
Washington,53,2014,2014,515,Not Applicable,Not Applicable
Washington,53,2015,2015,581,Not Applicable,Not Applicable
Washington,53,2016,2016,548,Not Applicable,Not Applicable
Washington,53,2017,2017,675,Not Applicable,Not Applicable
Washington,53,2018,2018,647,Not Applicable,Not Applicable
Washington,53,2019,2019,726,Not Applicable,Not Applicable
Washington,53,2020,2020,919,Not Applicable,Not Applicable
West Virginia,54,2008,2008,241,Not Applicable,Not Applicable
West Virginia,54,2009,2009,170,Not Applicable,Not Applicable
West Virginia,54,2010,2010,295,Not Applicable,Not Applicable
West Virginia,54,2011,2011,351,Not Applicable,Not Applicable
West Virginia,54,2012,2012,317,Not Applicable,Not Applicable
West Virginia,54,2013,2013,333,Not Applicable,Not Applicable
West Virginia,54,2014,2014,373,Not Applicable,Not Applicable
West Virginia,54,2015,2015,425,Not Applicable,Not Applicable
West Virginia,54,2016,2016,506,Not Applicable,Not Applicable
West Virginia,54,2017,2017,488,Not Applicable,Not Applicable
West Virginia,54,2018,2018,462,Not Applicable,Not Applicable
West Virginia,54,2019,2019,525,Not Applicable,Not Applicable
West Virginia,54,2020,2020,749,Not Applicable,Not Applicable
Wisconsin,55,2008,2008,295,Not Applicable,Not Applicable
Wisconsin,55,2009,2009,314,Not Applicable,Not Applicable
Wisconsin,55,2010,2010,330,Not Applicable,Not Applicable
Wisconsin,55,2011,2011,334,Not Applicable,Not Applicable
Wisconsin,55,2012,2012,357,Not Applicable,Not Applicable
Wisconsin,55,2013,2013,419,Not Applicable,Not Applicable
Wisconsin,55,2014,2014,450,Not Applicable,Not Applicable
Wisconsin,55,2015,2015,479,Not Applicable,Not Applicable
Wisconsin,55,2016,2016,579,Not Applicable,Not Applicable
Wisconsin,55,2017,2017,630,Not Applicable,Not Applicable
Wisconsin,55,2018,2018,558,Not Applicable,Not Applicable
Wisconsin,55,2019,2019,650,Not Applicable,Not Applicable
Wisconsin,55,2020,2020,786,Not Applicable,Not Applicable
Wyoming,56,2008,2008,41,Not Applicable,Not Applicable
Wyoming,56,2009,2009,28,Not Applicable,Not Applicable
Wyoming,56,2010,2010,44,Not Applicable,Not Applicable
Wyoming,56,2011,2011,57,Not Applicable,Not Applicable
Wyoming,56,2012,2012,56,Not Applicable,Not Applicable
Wyoming,56,2013,2013,53,Not Applicable,Not Applicable
Wyoming,56,2014,2014,63,Not Applicable,Not Applicable
Wyoming,56,2015,2015,58,Not Applicable,Not Applicable
Wyoming,56,2016,2016,47,Not Applicable,Not Applicable
Wyoming,56,2017,2017,49,Not Applicable,Not Applicable
Wyoming,56,2018,2018,43,Not Applicable,Not Applicable
Wyoming,56,2019,2019,54,Not Applicable,Not Applicable
Wyoming,56,2020,2020,62,Not Applicable,Not Applicable
