State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
Massachusetts,25,2018,2018,2240,6902149,32.45366045,32.74082438,0.006669525
Massachusetts,25,2019,2019,2210,6892503,32.06382355,32.08826308,0.006580201
Massachusetts,25,2020,2020,2300,6893574,33.36440575,33.81837616,0.006848173
Massachusetts,25,2021,2021,2585,6984723,37.00934167,36.77880367,0.007696751
Michigan,26,2018,2018,2589,9995915,25.90058039,26.63606121,0.007708661
Michigan,26,2019,2019,2384,9986857,23.87137415,24.42344662,0.00709828
Michigan,26,2020,2020,2758,9966555,27.67255085,28.60636261,0.008211853
Michigan,26,2021,2021,3087,10050811,30.7139394,31.43109218,0.009191439
Minnesota,27,2018,2018,636,5611179,11.33451633,11.4672811,0.001893669
Minnesota,27,2019,2019,790,5639632,14.0080062,14.203125,0.002352199
Minnesota,27,2020,2020,1050,5657342,18.55995271,19.04284801,0.00312634
Minnesota,27,2021,2021,1355,5707390,23.74114963,24.51523374,0.004034467
Mississippi,28,2018,2018,310,2986530,10.37993926,10.84665582,0.000923015
Mississippi,28,2019,2019,393,2976149,13.20498403,13.59167136,0.001170144
Mississippi,28,2020,2020,584,2966786,19.68460145,21.02986637,0.00173884
Mississippi,28,2021,2021,785,2949965,26.61048521,28.32677617,0.002337311
Missouri,29,2018,2018,1608,6126452,26.24683912,27.42890242,0.004787766
Missouri,29,2019,2019,1570,6137428,25.58074816,26.63840172,0.004674622
Missouri,29,2020,2020,1860,6151548,30.23629174,31.84010251,0.005538088
Missouri,29,2021,2021,2143,6168187,34.74278585,36.29288917,0.006380711
Montana,30,2018,2018,125,1062305,11.76686545,12.16687933,0.000372183
Montana,30,2019,2019,143,1068778,13.37976643,14.11428002,0.000425778
Montana,30,2020,2020,162,1080577,14.99199039,15.57369865,0.00048235
Montana,30,2021,2021,199,1104271,18.0209387,19.48979706,0.000592516
Nebraska,31,2018,2018,138,1929268,7.152972008,7.394492204,0.00041089
Nebraska,31,2019,2019,161,1934408,8.322959789,8.697294216,0.000479372
Nebraska,31,2020,2020,214,1937552,11.04486486,11.29609508,0.000637178
Nebraska,31,2021,2021,213,1963692,10.84691489,11.30462877,0.0006342
Nevada,32,2018,2018,688,3034392,22.67340541,21.17938626,0.002048497
Nevada,32,2019,2019,645,3080156,20.94049782,20.02800651,0.001920466
Nevada,32,2020,2020,831,3138259,26.47965002,25.93848161,0.002474275
Nevada,32,2021,2021,947,3143991,30.12095136,29.10344698,0.002819661
New Hampshire,33,2018,2018,452,1356458,33.32207853,35.79493382,0.001345815
New Hampshire,33,2019,2019,407,1359711,29.93283132,32.0262214,0.001211829
New Hampshire,33,2020,2020,392,1366275,28.69114929,30.19993425,0.001167167
New Hampshire,33,2021,2021,441,1388992,31.74964291,32.33428337,0.001313063
New Jersey,34,2018,2018,2897,8908520,32.51943084,33.07208952,0.008625721
New Jersey,34,2019,2019,2804,8882190,31.56879103,31.70431267,0.008348816
New Jersey,34,2020,2020,2839,8882371,31.96218667,32.0748676,0.008453027
New Jersey,34,2021,2021,3049,9267130,32.90123264,32.32033494,0.009078295
New Mexico,35,2018,2018,535,2095428,25.5317768,26.54897897,0.001592945
New Mexico,35,2019,2019,598,2096829,28.51925455,30.09788227,0.001780525
New Mexico,35,2020,2020,783,2106319,37.17385638,38.99855144,0.002331356
New Mexico,35,2021,2021,1051,2115877,49.67207451,51.56646498,0.003129317
New York,36,2018,2018,3694,19542209,18.9026737,18.40345692,0.010998761
New York,36,2019,2019,3612,19453561,18.5672947,18.21835607,0.010754609
New York,36,2020,2020,4961,19336776,25.65577633,25.36849134,0.014771211
New York,36,2021,2021,5834,19835913,29.4113006,28.70301847,0.01737054
North Carolina,37,2018,2018,2259,10383620,21.75541863,22.37542864,0.006726097
North Carolina,37,2019,2019,2263,10488084,21.57686762,22.24649136,0.006738007
North Carolina,37,2020,2020,3145,10600823,29.66750789,30.89036074,0.009364132
North Carolina,37,2021,2021,3980,10551162,37.72096381,39.14756707,0.011850317
North Dakota,38,2018,2018,70,760077,9.209593239,10.17384054,0.000208423
North Dakota,38,2019,2019,82,762062,10.76027935,11.35885955,0.000244152
North Dakota,38,2020,2020,114,765309,14.89594399,15.55165895,0.000339431
North Dakota,38,2021,2021,124,774948,16.00107362,17.15827562,0.000369206
Ohio,39,2018,2018,3965,11689442,33.91949761,35.80252574,0.011805655
Ohio,39,2019,2019,4236,11689100,36.23888922,38.14208506,0.012612548
Ohio,39,2020,2020,5202,11693217,44.48732971,47.13385048,0.015488781
Ohio,39,2021,2021,5392,11780017,45.7724297,48.05211325,0.0160545
Oklahoma,40,2018,2018,715,3943079,18.13303766,18.35292053,0.002128889
Oklahoma,40,2019,2019,644,3956971,16.27507505,16.64395329,0.001917488
Oklahoma,40,2020,2020,762,3980783,19.14196278,19.4216925,0.00226883
Oklahoma,40,2021,2021,960,3986639,24.08043467,24.44684976,0.002858368
Oregon,41,2018,2018,547,4190713,13.05267147,12.57326058,0.001628674
Oregon,41,2019,2019,615,4217737,14.58127901,13.96835421,0.001831142
Oregon,41,2020,2020,803,4241507,18.93195037,18.67287876,0.002390906
Oregon,41,2021,2021,1171,4246155,27.57789106,26.79492811,0.003486613
Pennsylvania,42,2018,2018,4388,12807060,34.26235217,35.88144778,0.013065123
Pennsylvania,42,2019,2019,4354,12801989,34.01034011,35.42484909,0.012963889
Pennsylvania,42,2020,2020,5103,12783254,39.91941332,41.85573537,0.015194012
Pennsylvania,42,2021,2021,5381,12964056,41.50707155,42.67825041,0.016021747
Rhode Island,44,2018,2018,316,1057315,29.88702515,30.00757914,0.000940879
Rhode Island,44,2019,2019,306,1059361,28.88533748,29.41779577,0.000911105
Rhode Island,44,2020,2020,397,1057125,37.55468842,38.16257689,0.001182054
Rhode Island,44,2021,2021,454,1095610,41.43810298,41.59259521,0.00135177
South Carolina,45,2018,2018,1121,5084127,22.04901648,22.55542912,0.00333774
South Carolina,45,2019,2019,1127,5148714,21.88896101,22.67919691,0.003355605
South Carolina,45,2020,2020,1738,5218040,33.30752543,34.90255407,0.005174837
South Carolina,45,2021,2021,2131,5190705,41.05415353,42.59311495,0.006344981
South Dakota,46,2018,2018,57,882235,6.460863602,6.87664866,0.000169716
South Dakota,46,2019,2019,86,884659,9.72125983,10.47203875,0.000256062
South Dakota,46,2020,2020,82,892717,9.185441747,10.18083353,0.000244152
South Dakota,46,2021,2021,105,895376,11.72691696,12.62829205,0.000312634
Tennessee,47,2018,2018,1822,6770010,26.91281106,27.4606767,0.005424944
Tennessee,47,2019,2019,2089,6829174,30.58935092,31.17860949,0.006219928
Tennessee,47,2020,2020,3034,6886834,44.05507669,45.64345892,0.009033633
Tennessee,47,2021,2021,3813,6975218,54.66495814,56.60113895,0.01135308
Texas,48,2018,2018,2999,28701845,10.44880564,10.41010272,0.008929422
Texas,48,2019,2019,3127,28995881,10.78429036,10.73504466,0.009310538
Texas,48,2020,2020,4162,29360759,14.17538286,14.08466404,0.012392216
Texas,48,2021,2021,4972,29527941,16.83828886,16.72874308,0.014803964
Utah,49,2018,2018,623,3161105,19.70829821,21.14294239,0.001854962
Utah,49,2019,2019,571,3205958,17.81058891,18.94713735,0.001700133
Utah,49,2020,2020,621,3249879,19.10840373,20.48959721,0.001849007
Utah,49,2021,2021,662,3337975,19.83238341,21.13441979,0.001971083
Vermont,50,2018,2018,153,626299,24.4292263,26.64669969,0.000455552
Vermont,50,2019,2019,131,623989,20.99395983,23.33842136,0.000390048
Vermont,50,2020,2020,190,623347,30.48061513,32.88102629,0.000565719
Vermont,50,2021,2021,252,645570,39.03527116,42.33070519,0.000750322
Virginia,51,2018,2018,1448,8517685,16.99992428,17.12479422,0.004311372
Virginia,51,2019,2019,1545,8535519,18.10083253,18.26520868,0.004600186
Virginia,51,2020,2020,2239,8590563,26.06348385,26.54735384,0.006666548
Virginia,51,2021,2021,2625,8642274,30.37395019,30.4412072,0.00781585
Washington,53,2018,2018,1164,7535591,15.44669821,14.77109429,0.003465771
Washington,53,2019,2019,1257,7614893,16.50712623,15.81702325,0.003742675
Washington,53,2020,2020,1729,7693612,22.47318945,21.99873097,0.00514804
Washington,53,2021,2021,2263,7738692,29.24266788,28.11769031,0.006738007
West Virginia,54,2018,2018,855,1805832,47.34659703,51.42925958,0.002545734
West Virginia,54,2019,2019,869,1792147,48.48932593,52.77923837,0.002587418
West Virginia,54,2020,2020,1330,1784787,74.51869607,81.39898542,0.00396003
West Virginia,54,2021,2021,1500,1782959,84.12980893,90.83653225,0.0044662
Wisconsin,55,2018,2018,1075,5813568,18.49122604,19.1298708,0.003200777
Wisconsin,55,2019,2019,1200,5822434,20.60993736,21.12620998,0.00357296
Wisconsin,55,2020,2020,1530,5832655,26.23162179,27.66795774,0.004555524
Wisconsin,55,2021,2021,1772,5895908,30.05474305,31.51193945,0.005276071
Wyoming,56,2018,2018,66,577737,11.42388319,11.09356685,0.000196513
Wyoming,56,2019,2019,79,578759,13.64989573,14.11318274,0.00023522
Wyoming,56,2020,2020,99,582328,17.00072811,17.38109118,0.000294769
Wyoming,56,2021,2021,109,578803,18.83196874,18.91010138,0.000324544
