"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"2016"	"2016"	778	Not Applicable	Not Applicable
	"Arizona"	"04"	"2017"	"2017"	829	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	901	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	918	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020 "	"2020"	1312	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2008"	"2008"	194	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	194	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	209	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	219	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	223	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	188	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	206	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	238	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	220	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	251	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	262	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	230	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020 "	"2020"	311	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	2289	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	2389	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	2342	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	2434	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	2420	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	2607	Not Applicable	Not Applicable
	"California"	"06"	"2014"	"2014"	2710	Not Applicable	Not Applicable
	"California"	"06"	"2015"	"2015"	2697	Not Applicable	Not Applicable
	"California"	"06"	"2016"	"2016"	2776	Not Applicable	Not Applicable
	"California"	"06"	"2017"	"2017"	2827	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	3014	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	3429	Not Applicable	Not Applicable
	"California"	"06"	"2020 "	"2020"	4506	Not Applicable	Not Applicable
	"Colorado"	"08"	"2008"	"2008"	417	Not Applicable	Not Applicable
	"Colorado"	"08"	"2009"	"2009"	418	Not Applicable	Not Applicable
	"Colorado"	"08"	"2010"	"2010"	369	Not Applicable	Not Applicable
	"Colorado"	"08"	"2011"	"2011"	421	Not Applicable	Not Applicable
	"Colorado"	"08"	"2012"	"2012"	435	Not Applicable	Not Applicable
	"Colorado"	"08"	"2013"	"2013"	469	Not Applicable	Not Applicable
	"Colorado"	"08"	"2014"	"2014"	483	Not Applicable	Not Applicable
	"Colorado"	"08"	"2015"	"2015"	478	Not Applicable	Not Applicable
	"Colorado"	"08"	"2016"	"2016"	499	Not Applicable	Not Applicable
	"Colorado"	"08"	"2017"	"2017"	551	Not Applicable	Not Applicable
	"Colorado"	"08"	"2018"	"2018"	571	Not Applicable	Not Applicable
	"Colorado"	"08"	"2019"	"2019"	587	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020 "	"2020"	808	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2008"	"2008"	206	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2009"	"2009"	213	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2010"	"2010"	197	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2011"	"2011"	211	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2012"	"2012"	220	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2013"	"2013"	265	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2014"	"2014"	326	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2015"	"2015"	364	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2016"	"2016"	487	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2017"	"2017"	565	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2018"	"2018"	562	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2019"	"2019"	583	Not Applicable	Not Applicable
	"Connecticut"	"09"	"2020 "	"2020"	699	Not Applicable	Not Applicable
	"Delaware"	"10"	"2008"	"2008"	66	Not Applicable	Not Applicable
	"Delaware"	"10"	"2009"	"2009"	85	Not Applicable	Not Applicable
	"Delaware"	"10"	"2010"	"2010"	89	Not Applicable	Not Applicable
	"Delaware"	"10"	"2011"	"2011"	87	Not Applicable	Not Applicable
	"Delaware"	"10"	"2012"	"2012"	74	Not Applicable	Not Applicable
	"Delaware"	"10"	"2013"	"2013"	71	Not Applicable	Not Applicable
	"Delaware"	"10"	"2014"	"2014"	100	Not Applicable	Not Applicable
	"Delaware"	"10"	"2015"	"2015"	109	Not Applicable	Not Applicable
	"Delaware"	"10"	"2016"	"2016"	135	Not Applicable	Not Applicable
	"Delaware"	"10"	"2017"	"2017"	167	Not Applicable	Not Applicable
	"Delaware"	"10"	"2018"	"2018"	196	Not Applicable	Not Applicable
	"Delaware"	"10"	"2019"	"2019"	209	Not Applicable	Not Applicable
	"Delaware"	"10"	"2020 "	"2020"	259	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2008"	"2008"	54	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2009"	"2009"	12	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2010"	"2010"	46	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2011"	"2011"	48	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2012"	"2012"	34	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2013"	"2013"	46	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2014"	"2014"	48	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2015"	"2015"	59	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2016"	"2016"	114	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2017"	"2017"	195	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2018"	"2018"	139	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2019"	"2019"	140	Not Applicable	Not Applicable
	"District of Columbia"	"11"	"2020 "	"2020"	235	Not Applicable	Not Applicable
	"Florida"	"12"	"2008"	"2008"	1632	Not Applicable	Not Applicable
	"Florida"	"12"	"2009"	"2009"	1638	Not Applicable	Not Applicable
	"Florida"	"12"	"2010"	"2010"	1681	Not Applicable	Not Applicable
	"Florida"	"12"	"2011"	"2011"	1589	Not Applicable	Not Applicable
	"Florida"	"12"	"2012"	"2012"	1468	Not Applicable	Not Applicable
	"Florida"	"12"	"2013"	"2013"	1353	Not Applicable	Not Applicable
	"Florida"	"12"	"2014"	"2014"	1341	Not Applicable	Not Applicable
	"Florida"	"12"	"2015"	"2015"	1634	Not Applicable	Not Applicable
	"Florida"	"12"	"2016"	"2016"	2087	Not Applicable	Not Applicable
	"Florida"	"12"	"2017"	"2017"	2690	Not Applicable	Not Applicable
	"Florida"	"12"	"2018"	"2018"	2464	Not Applicable	Not Applicable
	"Florida"	"12"	"2019"	"2019"	2572	Not Applicable	Not Applicable
	"Florida"	"12"	"2020 "	"2020"	3839	Not Applicable	Not Applicable
	"Georgia"	"13"	"2008"	"2008"	548	Not Applicable	Not Applicable
	"Georgia"	"13"	"2009"	"2009"	521	Not Applicable	Not Applicable
	"Georgia"	"13"	"2010"	"2010"	578	Not Applicable	Not Applicable
	"Georgia"	"13"	"2011"	"2011"	551	Not Applicable	Not Applicable
	"Georgia"	"13"	"2012"	"2012"	595	Not Applicable	Not Applicable
	"Georgia"	"13"	"2013"	"2013"	618	Not Applicable	Not Applicable
	"Georgia"	"13"	"2014"	"2014"	623	Not Applicable	Not Applicable
	"Georgia"	"13"	"2015"	"2015"	732	Not Applicable	Not Applicable
	"Georgia"	"13"	"2016"	"2016"	708	Not Applicable	Not Applicable
	"Georgia"	"13"	"2017"	"2017"	848	Not Applicable	Not Applicable
	"Georgia"	"13"	"2018"	"2018"	766	Not Applicable	Not Applicable
	"Georgia"	"13"	"2019"	"2019"	770	Not Applicable	Not Applicable
	"Georgia"	"13"	"2020 "	"2020"	1012	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2008"	"2008"	59	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2009"	"2009"	68	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2010"	"2010"	77	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2011"	"2011"	101	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2012"	"2012"	96	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2013"	"2013"	83	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2014"	"2014"	96	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2015"	"2015"	86	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2016"	"2016"	111	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2017"	"2017"	97	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2018"	"2018"	115	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2019"	"2019"	118	Not Applicable	Not Applicable
	"Hawaii"	"15"	"2020 "	"2020"	142	Not Applicable	Not Applicable
	"Idaho"	"16"	"2008"	"2008"	74	Not Applicable	Not Applicable
	"Idaho"	"16"	"2009"	"2009"	86	Not Applicable	Not Applicable
	"Idaho"	"16"	"2010"	"2010"	93	Not Applicable	Not Applicable
	"Idaho"	"16"	"2011"	"2011"	91	Not Applicable	Not Applicable
	"Idaho"	"16"	"2012"	"2012"	104	Not Applicable	Not Applicable
	"Idaho"	"16"	"2013"	"2013"	113	Not Applicable	Not Applicable
	"Idaho"	"16"	"2014"	"2014"	122	Not Applicable	Not Applicable
	"Idaho"	"16"	"2015"	"2015"	129	Not Applicable	Not Applicable
	"Idaho"	"16"	"2016"	"2016"	142	Not Applicable	Not Applicable
	"Idaho"	"16"	"2017"	"2017"	137	Not Applicable	Not Applicable
	"Idaho"	"16"	"2018"	"2018"	146	Not Applicable	Not Applicable
	"Idaho"	"16"	"2019"	"2019"	156	Not Applicable	Not Applicable
	"Idaho"	"16"	"2020 "	"2020"	151	Not Applicable	Not Applicable
	"Illinois"	"17"	"2008"	"2008"	784	Not Applicable	Not Applicable
	"Illinois"	"17"	"2009"	"2009"	786	Not Applicable	Not Applicable
	"Illinois"	"17"	"2010"	"2010"	706	Not Applicable	Not Applicable
	"Illinois"	"17"	"2011"	"2011"	736	Not Applicable	Not Applicable
	"Illinois"	"17"	"2012"	"2012"	892	Not Applicable	Not Applicable
	"Illinois"	"17"	"2013"	"2013"	891	Not Applicable	Not Applicable
	"Illinois"	"17"	"2014"	"2014"	884	Not Applicable	Not Applicable
	"Illinois"	"17"	"2015"	"2015"	927	Not Applicable	Not Applicable
	"Illinois"	"17"	"2016"	"2016"	1285	Not Applicable	Not Applicable
	"Illinois"	"17"	"2017"	"2017"	1361	Not Applicable	Not Applicable
	"Illinois"	"17"	"2018"	"2018"	1456	Not Applicable	Not Applicable
	"Illinois"	"17"	"2019"	"2019"	1348	Not Applicable	Not Applicable
	"Illinois"	"17"	"2020 "	"2020"	1979	Not Applicable	Not Applicable
	"Indiana"	"18"	"2008"	"2008"	435	Not Applicable	Not Applicable
	"Indiana"	"18"	"2009"	"2009"	478	Not Applicable	Not Applicable
	"Indiana"	"18"	"2010"	"2010"	485	Not Applicable	Not Applicable
	"Indiana"	"18"	"2011"	"2011"	524	Not Applicable	Not Applicable
	"Indiana"	"18"	"2012"	"2012"	564	Not Applicable	Not Applicable
	"Indiana"	"18"	"2013"	"2013"	584	Not Applicable	Not Applicable
	"Indiana"	"18"	"2014"	"2014"	607	Not Applicable	Not Applicable
	"Indiana"	"18"	"2015"	"2015"	682	Not Applicable	Not Applicable
	"Indiana"	"18"	"2016"	"2016"	800	Not Applicable	Not Applicable
	"Indiana"	"18"	"2017"	"2017"	1020	Not Applicable	Not Applicable
	"Indiana"	"18"	"2018"	"2018"	891	Not Applicable	Not Applicable
	"Indiana"	"18"	"2019"	"2019"	893	Not Applicable	Not Applicable
	"Indiana"	"18"	"2020 "	"2020"	1287	Not Applicable	Not Applicable
	"Iowa"	"19"	"2008"	"2008"	133	Not Applicable	Not Applicable
	"Iowa"	"19"	"2009"	"2009"	129	Not Applicable	Not Applicable
	"Iowa"	"19"	"2010"	"2010"	161	Not Applicable	Not Applicable
	"Iowa"	"19"	"2011"	"2011"	144	Not Applicable	Not Applicable
	"Iowa"	"19"	"2012"	"2012"	139	Not Applicable	Not Applicable
	"Iowa"	"19"	"2013"	"2013"	152	Not Applicable	Not Applicable
	"Iowa"	"19"	"2014"	"2014"	140	Not Applicable	Not Applicable
	"Iowa"	"19"	"2015"	"2015"	184	Not Applicable	Not Applicable
	"Iowa"	"19"	"2016"	"2016"	187	Not Applicable	Not Applicable
	"Iowa"	"19"	"2017"	"2017"	216	Not Applicable	Not Applicable
	"Iowa"	"19"	"2018"	"2018"	183	Not Applicable	Not Applicable
	"Iowa"	"19"	"2019"	"2019"	181	Not Applicable	Not Applicable
	"Iowa"	"19"	"2020 "	"2020"	259	Not Applicable	Not Applicable
	"Kansas"	"20"	"2008"	"2008"	86	Not Applicable	Not Applicable
	"Kansas"	"20"	"2009"	"2009"	155	Not Applicable	Not Applicable
	"Kansas"	"20"	"2010"	"2010"	155	Not Applicable	Not Applicable
	"Kansas"	"20"	"2011"	"2011"	177	Not Applicable	Not Applicable
	"Kansas"	"20"	"2012"	"2012"	165	Not Applicable	Not Applicable
	"Kansas"	"20"	"2013"	"2013"	201	Not Applicable	Not Applicable
	"Kansas"	"20"	"2014"	"2014"	199	Not Applicable	Not Applicable
	"Kansas"	"20"	"2015"	"2015"	207	Not Applicable	Not Applicable
	"Kansas"	"20"	"2016"	"2016"	194	Not Applicable	Not Applicable
	"Kansas"	"20"	"2017"	"2017"	180	Not Applicable	Not Applicable
	"Kansas"	"20"	"2018"	"2018"	207	Not Applicable	Not Applicable
	"Kansas"	"20"	"2019"	"2019"	259	Not Applicable	Not Applicable
	"Kansas"	"20"	"2020 "	"2020"	274	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2008"	"2008"	394	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2009"	"2009"	383	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2010"	"2010"	561	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2011"	"2011"	582	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2012"	"2012"	624	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2013"	"2013"	564	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2014"	"2014"	542	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2015"	"2015"	658	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2016"	"2016"	760	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2017"	"2017"	884	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2018"	"2018"	695	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2019"	"2019"	719	Not Applicable	Not Applicable
	"Kentucky"	"21"	"2020 "	"2020"	1075	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2008"	"2008"	388	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2009"	"2009"	332	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2010"	"2010"	353	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2011"	"2011"	335	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2012"	"2012"	279	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2013"	"2013"	403	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2014"	"2014"	460	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2015"	"2015"	478	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2016"	"2016"	552	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2017"	"2017"	586	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2018"	"2018"	680	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2019"	"2019"	646	Not Applicable	Not Applicable
	"Louisiana"	"22"	"2020 "	"2020"	955	Not Applicable	Not Applicable
	"Maine"	"23"	"2008"	"2008"	82	Not Applicable	Not Applicable
	"Maine"	"23"	"2009"	"2009"	106	Not Applicable	Not Applicable
	"Maine"	"23"	"2010"	"2010"	90	Not Applicable	Not Applicable
	"Maine"	"23"	"2011"	"2011"	96	Not Applicable	Not Applicable
	"Maine"	"23"	"2012"	"2012"	77	Not Applicable	Not Applicable
	"Maine"	"23"	"2013"	"2013"	98	Not Applicable	Not Applicable
	"Maine"	"23"	"2014"	"2014"	104	Not Applicable	Not Applicable
	"Maine"	"23"	"2015"	"2015"	137	Not Applicable	Not Applicable
	"Maine"	"23"	"2016"	"2016"	188	Not Applicable	Not Applicable
	"Maine"	"23"	"2017"	"2017"	194	Not Applicable	Not Applicable
	"Maine"	"23"	"2018"	"2018"	185	Not Applicable	Not Applicable
	"Maine"	"23"	"2019"	"2019"	178	Not Applicable	Not Applicable
	"Maine"	"23"	"2020 "	"2020"	265	Not Applicable	Not Applicable
	"Maryland"	"24"	"2008"	"2008"	366	Not Applicable	Not Applicable
	"Maryland"	"24"	"2009"	"2009"	345	Not Applicable	Not Applicable
	"Maryland"	"24"	"2010"	"2010"	323	Not Applicable	Not Applicable
	"Maryland"	"24"	"2011"	"2011"	372	Not Applicable	Not Applicable
	"Maryland"	"24"	"2012"	"2012"	420	Not Applicable	Not Applicable
	"Maryland"	"24"	"2013"	"2013"	419	Not Applicable	Not Applicable
	"Maryland"	"24"	"2014"	"2014"	546	Not Applicable	Not Applicable
	"Maryland"	"24"	"2015"	"2015"	623	Not Applicable	Not Applicable
	"Maryland"	"24"	"2016"	"2016"	992	Not Applicable	Not Applicable
	"Maryland"	"24"	"2017"	"2017"	1172	Not Applicable	Not Applicable
	"Maryland"	"24"	"2018"	"2018"	1323	Not Applicable	Not Applicable
	"Maryland"	"24"	"2019"	"2019"	1238	Not Applicable	Not Applicable
	"Maryland"	"24"	"2020 "	"2020"	1363	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2008"	"2008"	438	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2009"	"2009"	418	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2010"	"2010"	386	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2011"	"2011"	414	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2012"	"2012"	432	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2013"	"2013"	567	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2014"	"2014"	720	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2015"	"2015"	844	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2016"	"2016"	1150	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2017"	"2017"	1054	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2018"	"2018"	1181	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2019"	"2019"	1121	Not Applicable	Not Applicable
	"Massachusetts"	"25"	"2020 "	"2020"	1204	Not Applicable	Not Applicable
	"Michigan"	"26"	"2008"	"2008"	668	Not Applicable	Not Applicable
	"Michigan"	"26"	"2009"	"2009"	765	Not Applicable	Not Applicable
	"Michigan"	"26"	"2010"	"2010"	694	Not Applicable	Not Applicable
	"Michigan"	"26"	"2011"	"2011"	747	Not Applicable	Not Applicable
	"Michigan"	"26"	"2012"	"2012"	731	Not Applicable	Not Applicable
	"Michigan"	"26"	"2013"	"2013"	822	Not Applicable	Not Applicable
	"Michigan"	"26"	"2014"	"2014"	868	Not Applicable	Not Applicable
	"Michigan"	"26"	"2015"	"2015"	1115	Not Applicable	Not Applicable
	"Michigan"	"26"	"2016"	"2016"	1084	Not Applicable	Not Applicable
	"Michigan"	"26"	"2017"	"2017"	1352	Not Applicable	Not Applicable
	"Michigan"	"26"	"2018"	"2018"	1375	Not Applicable	Not Applicable
	"Michigan"	"26"	"2019"	"2019"	1223	Not Applicable	Not Applicable
	"Michigan"	"26"	"2020 "	"2020"	1502	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	199	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	228	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	204	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	277	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2012"	"2012"	275	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2013"	"2013"	312	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2014"	"2014"	277	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2015"	"2015"	304	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2016"	"2016"	367	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2017"	"2017"	395	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2018"	"2018"	344	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2019"	"2019"	420	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2020 "	"2020"	535	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2008"	"2008"	157	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2009"	"2009"	172	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2010"	"2010"	191	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2011"	"2011"	183	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2012"	"2012"	167	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2013"	"2013"	179	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2014"	"2014"	195	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2015"	"2015"	209	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2016"	"2016"	184	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2017"	"2017"	191	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2018"	"2018"	163	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2019"	"2019"	213	Not Applicable	Not Applicable
	"Mississippi"	"28"	"2020 "	"2020"	296	Not Applicable	Not Applicable
	"Missouri"	"29"	"2008"	"2008"	411	Not Applicable	Not Applicable
	"Missouri"	"29"	"2009"	"2009"	498	Not Applicable	Not Applicable
	"Missouri"	"29"	"2010"	"2010"	531	Not Applicable	Not Applicable
	"Missouri"	"29"	"2011"	"2011"	495	Not Applicable	Not Applicable
	"Missouri"	"29"	"2012"	"2012"	487	Not Applicable	Not Applicable
	"Missouri"	"29"	"2013"	"2013"	563	Not Applicable	Not Applicable
	"Missouri"	"29"	"2014"	"2014"	591	Not Applicable	Not Applicable
	"Missouri"	"29"	"2015"	"2015"	601	Not Applicable	Not Applicable
	"Missouri"	"29"	"2016"	"2016"	705	Not Applicable	Not Applicable
	"Missouri"	"29"	"2017"	"2017"	749	Not Applicable	Not Applicable
	"Missouri"	"29"	"2018"	"2018"	836	Not Applicable	Not Applicable
	"Missouri"	"29"	"2019"	"2019"	794	Not Applicable	Not Applicable
	"Missouri"	"29"	"2020 "	"2020"	1094	Not Applicable	Not Applicable
	"Montana"	"30"	"2008"	"2008"	66	Not Applicable	Not Applicable
	"Montana"	"30"	"2009"	"2009"	83	Not Applicable	Not Applicable
	"Montana"	"30"	"2010"	"2010"	68	Not Applicable	Not Applicable
	"Montana"	"30"	"2011"	"2011"	79	Not Applicable	Not Applicable
	"Montana"	"30"	"2012"	"2012"	68	Not Applicable	Not Applicable
	"Montana"	"30"	"2013"	"2013"	83	Not Applicable	Not Applicable
	"Montana"	"30"	"2014"	"2014"	64	Not Applicable	Not Applicable
	"Montana"	"30"	"2015"	"2015"	80	Not Applicable	Not Applicable
	"Montana"	"30"	"2016"	"2016"	68	Not Applicable	Not Applicable
	"Montana"	"30"	"2017"	"2017"	73	Not Applicable	Not Applicable
	"Montana"	"30"	"2018"	"2018"	70	Not Applicable	Not Applicable
	"Montana"	"30"	"2019"	"2019"	79	Not Applicable	Not Applicable
	"Montana"	"30"	"2020 "	"2020"	85	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2008"	"2008"	46	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2009"	"2009"	66	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2010"	"2010"	65	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2011"	"2011"	73	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2012"	"2012"	75	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2013"	"2013"	73	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2014"	"2014"	68	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2015"	"2015"	79	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2016"	"2016"	74	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2017"	"2017"	82	Not Applicable	Not Applicable
	"Nebraska"	"31"	"2018"	"2018"	80	Not Applicable	Not Applicable
