"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Kansas"	"20"	"2019"	"2019"	403	2913314	13.833043743	14.262074606	0.119991901%
	"Kansas"	"20"	"2020"	"2020"	490	2913805	16.816499388	17.429996550	0.145895860%
	"Kansas"	"20"	"2021 "	"2021"	680	2934582	23.171954302	24.304878429	0.202467724%
	"Kentucky"	"21"	"2018"	"2018"	1315	4468402	29.428865174	30.854211664	0.391536849%
	"Kentucky"	"21"	"2019"	"2019"	1380	4467673	30.888563241	32.510405584	0.410890382%
	"Kentucky"	"21"	"2020"	"2020"	2083	4477251	46.524083640	49.175500046	0.620206279%
	"Kentucky"	"21"	"2021 "	"2021"	2380	4509394	52.778710399	55.594923751	0.708637035%
	"Louisiana"	"22"	"2018"	"2018"	1138	4659978	24.420716149	25.380613389	0.338835691%
	"Louisiana"	"22"	"2019"	"2019"	1264	4648794	27.189847517	28.266923528	0.376351770%
	"Louisiana"	"22"	"2020"	"2020"	1892	4645318	40.729181511	42.576250718	0.563336668%
	"Louisiana"	"22"	"2021 "	"2021"	2455	4624047	53.092020907	55.709703773	0.730968034%
	"Maine"	"23"	"2018"	"2018"	345	1338404	25.776970182	27.944143117	0.102722595%
	"Maine"	"23"	"2019"	"2019"	371	1344212	27.599813125	29.917437876	0.110464008%
	"Maine"	"23"	"2020"	"2020"	496	1350141	36.736903775	39.702029030	0.147682340%
	"Maine"	"23"	"2021 "	"2021"	609	1372247	44.379765450	46.850685419	0.181327712%
	"Maryland"	"24"	"2018"	"2018"	2320	6042718	38.393319033	37.171011037	0.690772236%
	"Maryland"	"24"	"2019"	"2019"	2367	6045680	39.151923357	38.123203143	0.704766328%
	"Maryland"	"24"	"2020"	"2020"	2765	6055802	45.658692276	44.449866552	0.823269496%
	"Maryland"	"24"	"2021 "	"2021"	2734	6165129	44.346192918	42.748012114	0.814039350%
	"Massachusetts"	"25"	"2018"	"2018"	2240	6902149	32.453660447	32.740824375	0.666952503%
	"Massachusetts"	"25"	"2019"	"2019"	2210	6892503	32.063823549	32.088263077	0.658020104%
	"Massachusetts"	"25"	"2020"	"2020"	2300	6893574	33.364405750	33.818376156	0.684817303%
	"Massachusetts"	"25"	"2021 "	"2021"	2585	6984723	37.009341673	36.778803668	0.769675099%
	"Michigan"	"26"	"2018"	"2018"	2589	9995915	25.900580387	26.636061213	0.770866085%
	"Michigan"	"26"	"2019"	"2019"	2384	9986857	23.871374147	24.423446622	0.709828022%
	"Michigan"	"26"	"2020"	"2020"	2758	9966555	27.672550846	28.606362605	0.821185270%
	"Michigan"	"26"	"2021 "	"2021"	3087	10050811	30.713939402	31.431092180	0.919143919%
	"Minnesota"	"27"	"2018"	"2018"	636	5611179	11.334516329	11.467281102	0.189366872%
	"Minnesota"	"27"	"2019"	"2019"	790	5639632	14.008006196	14.203124997	0.235219856%
	"Minnesota"	"27"	"2020"	"2020"	1050	5657342	18.559952713	19.042848008	0.312633986%
	"Minnesota"	"27"	"2021 "	"2021"	1355	5707390	23.741149632	24.515233743	0.403446715%
	"Mississippi"	"28"	"2018"	"2018"	310	2986530	10.379939261	10.846655816	0.092301463%
	"Mississippi"	"28"	"2019"	"2019"	393	2976149	13.204984025	13.591671357	0.117014435%
	"Mississippi"	"28"	"2020"	"2020"	584	2966786	19.684601451	21.029866369	0.173884046%
	"Mississippi"	"28"	"2021 "	"2021"	785	2949965	26.610485209	28.326776170	0.233731123%
	"Missouri"	"29"	"2018"	"2018"	1608	6126452	26.246839117	27.428902420	0.478776619%
	"Missouri"	"29"	"2019"	"2019"	1570	6137428	25.580748157	26.638401717	0.467462246%
	"Missouri"	"29"	"2020"	"2020"	1860	6151548	30.236291743	31.840102513	0.553808775%
	"Missouri"	"29"	"2021 "	"2021"	2143	6168187	34.742785846	36.292889165	0.638071078%
	"Montana"	"30"	"2018"	"2018"	125	1062305	11.766865448	12.166879327	0.037218332%
	"Montana"	"30"	"2019"	"2019"	143	1068778	13.379766425	14.114280020	0.042577771%
	"Montana"	"30"	"2020"	"2020"	162	1080577	14.991990390	15.573698651	0.048234958%
	"Montana"	"30"	"2021 "	"2021"	199	1104271	18.020938701	19.489797061	0.059251584%
	"Nebraska"	"31"	"2018"	"2018"	138	1929268	7.152972008	7.394492204	0.041089038%
	"Nebraska"	"31"	"2019"	"2019"	161	1934408	8.322959789	8.697294216	0.047937211%
	"Nebraska"	"31"	"2020"	"2020"	214	1937552	11.044864860	11.296095080	0.063717784%
	"Nebraska"	"31"	"2021 "	"2021"	213	1963692	10.846914893	11.304628771	0.063420037%
	"Nevada"	"32"	"2018"	"2018"	688	3034392	22.673405414	21.179386255	0.204849697%
	"Nevada"	"32"	"2019"	"2019"	645	3080156	20.940497819	20.028006512	0.192046591%
	"Nevada"	"32"	"2020"	"2020"	831	3138259	26.479650022	25.938481611	0.247427469%
	"Nevada"	"32"	"2021 "	"2021"	947	3143991	30.120951364	29.103446980	0.281966081%
	"New Hampshire"	"33"	"2018"	"2018"	452	1356458	33.322078531	35.794933822	0.134581487%
	"New Hampshire"	"33"	"2019"	"2019"	407	1359711	29.932831315	32.026221404	0.121182888%
	"New Hampshire"	"33"	"2020"	"2020"	392	1366275	28.691149293	30.199934245	0.116716688%
