V1,V2,V3,V4,V5
ATT,0.113**,0.155**,0.147**,0.184**
P-Val,{0.02},{0.02},{0.02},{0.02}
ATT,0.06**,0.103,0.087**,0.115*
P-Val,{0.02},{0.12},{0.02},{0.06}
Sample,2018-21,2018-21,2018-22,2018-22
Matching Until,Dec,Jan,Dec,Jan
