V1,V2,V3,V4,V5
State,OR,WA,OR,WA
\hline ATT Overall,0.806**,0.732**,0.848**,0.776**
P-Val,{0.02},{0.02},{0.02},{0.02}
,,,,
ATT 2021,0.272,0.103,0.434**,0.113**
P-Val,{0.16},{0.12},{0.02},{0.02}
,,,,
ATT 2022,0.582**,0.533**,0.644**,0.633**
P-Val,{0.02},{0.02},{0.02},{0.02}
,,,,
ATT 2023 ,1.521**,1.455**,1.466**,1.528**
P-Val,{0.02},{0.02},{0.02},{0.02}
