V1,V2,V3,V4,V5
ATT,0.434**,0.381**,0.403**,0.346**
P-Val,{0.02},{0.02},{0.02},{0.04}
ATT,0.329*,0.272,0.32,0.27
P-Val,{0.08},{0.16},{0.16},{0.26}
Sample,2018-21,2018-21,2018-22,2018-22
Matching Until,Dec,Jan,Dec,Jan
