V1,V2,V3,V4,V5,V6,V7
,(1),(2),(3),(4),(5),(6)
,Aug Synth,SDiD,GSynth,Matrix Completion,Multi Outcome SC,TWFE
ATT,0.806**,0.81**,0.829***,0.838***,0.856*,0.883*
P-Val,{0.021},{0.04},{0.000},{0.000},{0.065},{0.094}
ATT,0.733***,0.859**,0.832***,0.836***,0.769***,0.888*
P-Val,{0},{0.036},{0.000},{0.000},{0.004},{0.093}
