V1,V2,V3,V4,V5
& \multicolumn{2}{c}{Oregon} & \multicolumn{2}{c}{Washington} \\ \cmidrule(lr){2-3} \cmidrule(lr){4-5}  \\ & \multicolumn{4}{c}{Panel I: Prediction Intervals}  \\ \cmidrule(l){2-5} ATT,0.875**,0.784**,0.759**,0.711**
,"[0.6,1.15]","[0.32,1.61]","[0.62,0.9]","[0.54,0.88]"
 \\ & \multicolumn{4}{c}{Panel II: Chernozhukov et al. (2018) T-Test Procedure}  \\ \cmidrule(l){2-5} ATT,0.86**,0.878**,0.768***,0.816**
,"[0.49,1.23]","[0.5,1.26]","[0.7,0.83]","[0.55,1.09]"
Specification,Spencer,Joshi,Spencer,Joshi
