V1,V2,V3,V4,V5,V6,V7
,Fentanyl,Non Fentanyl,Opioid,All Drugs,Fentanyl-to-Drug,Fentanyl-to-Opioid
,(1),(2),(3),(4),(5),(6)
ATT,-15.048,-77.973**,-13.429**,-86.887**,17.95**,14.44*
P-Val,{0.12},{0.02},{0.02},{0.04},{0.02},{0.08}
ATT,-19.451,-25.292**,-7.725**,-18.818**,15.045**,7.411
P-Val,{0.16},{0.02},{0.02},{0.04},{0.04},{0.24}
