"Notes"	"Occurrence State"	"Occurrence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arizona"	"04"	"Apr., 2021"	"2021/04"	192	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2021"	"2021/05"	242	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2021"	"2021/06"	237	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2021"	"2021/07"	261	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2021"	"2021/08"	262	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2021"	"2021/09"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2021"	"2021/10"	197	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2021"	"2021/11"	167	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2021"	"2021/12"	203	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2022 (provisional)"	"2022/01"	178	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2022 (provisional)"	"2022/02"	165	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2022 (provisional)"	"2022/03"	188	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2022 (provisional)"	"2022/04"	179	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2022 (provisional)"	"2022/05"	185	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2022 (provisional)"	"2022/06"	220	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2022 (provisional)"	"2022/07"	336	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2022 (provisional)"	"2022/08"	223	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2022 (provisional)"	"2022/09"	193	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2022 (provisional)"	"2022/10"	193	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2022 (provisional)"	"2022/11"	182	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2022 (provisional)"	"2022/12"	195	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2023 (provisional)"	"2023/01"	198	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2023 (provisional)"	"2023/02"	177	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2023 (provisional)"	"2023/03"	121	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2023 (provisional)"	"2023/04"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2023 (provisional)"	"2023/05"	0	Not Applicable	Not Applicable
