"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Aug., 2023 (provisional)"	"2023/08"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2023 (provisional and partial)"	"2023/09"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2018"	"2018/01"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2018"	"2018/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2018"	"2018/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2018"	"2018/04"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2018"	"2018/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2018"	"2018/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2018"	"2018/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2018"	"2018/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2018"	"2018/09"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2018"	"2018/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2018"	"2018/11"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2018"	"2018/12"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2019"	"2019/01"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2019"	"2019/02"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2019"	"2019/03"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2019"	"2019/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2019"	"2019/05"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2019"	"2019/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2019"	"2019/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2019"	"2019/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2019"	"2019/09"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2019"	"2019/10"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2019"	"2019/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2019"	"2019/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2020"	"2020/01"	12	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2020"	"2020/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2020"	"2020/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2020"	"2020/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2020"	"2020/05"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2020"	"2020/06"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2020"	"2020/07"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2020"	"2020/08"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2020"	"2020/09"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2020"	"2020/10"	10	Not Applicable	Not Applicable
