ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count
AZ,2020,1,3140,0
AZ,2020,2,5110,0
AZ,2021,1,6798,0
AZ,2021,2,7155,0
AZ,2022,1,8624,0
AZ,2022,2,8691,0
CA,1998,1,0,0
CA,1998,2,0,0
CA,1999,1,0,0
CA,1999,2,6,0
CA,2000,1,0,0
CA,2000,2,6,0
CA,2001,1,0,0
CA,2001,2,0,0
CA,2002,1,0,0
CA,2002,2,1,0
CA,2003,1,4,0
CA,2003,2,2,0
CA,2004,1,8,0
CA,2004,2,0,0
CA,2005,1,16,0
CA,2005,2,36,0
CA,2006,1,10,0
CA,2006,2,13,0
CA,2007,1,13,0
CA,2007,2,17,0
CA,2008,1,14,0
CA,2008,2,12,0
CA,2009,1,6,0
CA,2009,2,14,0
CA,2010,1,8,0
CA,2010,2,12,0
CA,2011,1,5,0
CA,2011,2,9,0
CA,2012,1,10,0
CA,2012,2,6,0
CA,2013,1,15,0
CA,2013,2,23,0
CA,2014,1,38,0
CA,2014,2,21,0
CA,2015,1,80,0
CA,2015,2,67,0
CA,2016,1,188,0
CA,2016,2,141,0
CA,2017,1,328,4
CA,2017,2,512,3
CA,2018,1,715,3
CA,2018,2,947,5
CA,2019,1,1343,1
CA,2019,2,2084,3
CA,2020,1,2601,2
CA,2020,2,4038,0
CA,2021,1,5204,0
CA,2021,2,5676,0
CA,2022,1,6235,0
CA,2022,2,6479,0
CO,1998,1,0,0
CO,1998,2,0,0
CO,1999,1,0,0
CO,1999,2,0,0
CO,2000,1,0,0
CO,2000,2,0,0
CO,2001,1,0,0
CO,2001,2,0,0
CO,2002,1,0,0
CO,2002,2,0,0
CO,2003,1,0,0
CO,2003,2,0,0
CO,2004,1,1,0
CO,2004,2,2,0
CO,2005,1,0,0
CO,2005,2,0,0
CO,2006,1,1,0
CO,2006,2,0,0
CO,2007,1,0,0
CO,2007,2,0,0
CO,2008,1,0,0
CO,2008,2,9,0
CO,2009,1,2,0
CO,2009,2,2,0
CO,2010,1,8,0
CO,2010,2,5,0
CO,2011,1,7,0
CO,2011,2,1,0
CO,2012,1,4,0
CO,2012,2,3,0
CO,2013,1,4,0
CO,2013,2,4,0
CO,2014,1,8,0
CO,2014,2,6,0
CO,2015,1,11,0
CO,2015,2,10,0
CO,2016,1,8,0
CO,2016,2,23,0
CO,2017,1,26,2
CO,2017,2,24,0
